student_id,company_name,tech_skills_count,tech_skills_percentage,soft_skills_count,soft_skills_percentage,eligible,readiness_score,prediction
64,tcs,1,33.33,1,33.33,1,65.93,Medium
65,tcs,1,33.33,1,33.33,1,64.53,Medium
66,tcs,1,33.33,1,33.33,1,63.33,Medium
68,tcs,1,33.33,1,33.33,1,63.33,Medium
70,tcs,1,33.33,2,66.67,1,75.7,High
71,tcs,1,33.33,2,66.67,1,67.7,Medium
73,tcs,2,66.67,1,33.33,1,66.5,Medium
76,tcs,2,66.67,2,66.67,1,73.87,Medium
77,tcs,1,33.33,2,66.67,1,67.9,Medium
80,tcs,1,33.33,1,33.33,1,62.93,Medium
81,tcs,1,33.33,1,33.33,1,68.73,Medium
83,tcs,1,33.33,2,66.67,1,71.3,Medium
84,tcs,1,33.33,1,33.33,1,64.93,Medium
85,tcs,1,33.33,1,33.33,1,71.13,Medium
86,tcs,1,33.33,2,66.67,1,74.9,Medium
87,tcs,2,66.67,1,33.33,1,72.7,Medium
90,tcs,1,33.33,2,66.67,1,68.3,Medium
91,tcs,1,33.33,2,66.67,1,72.1,Medium
92,tcs,1,33.33,2,66.67,1,68.5,Medium
93,tcs,1,33.33,2,66.67,1,68.5,Medium
95,tcs,1,33.33,1,33.33,1,64.93,Medium
96,tcs,1,33.33,1,33.33,1,62.73,Medium
98,tcs,1,33.33,1,33.33,1,60.93,Medium
99,tcs,2,66.67,2,66.67,1,70.87,Medium
100,tcs,1,33.33,1,33.33,1,63.73,Medium
102,tcs,1,33.33,1,33.33,1,66.13,Medium
107,tcs,2,66.67,1,33.33,1,65.9,Medium
110,tcs,1,33.33,2,66.67,1,66.9,Medium
113,tcs,1,33.33,2,66.67,1,65.9,Medium
115,tcs,1,33.33,1,33.33,1,64.53,Medium
117,tcs,1,33.33,2,66.67,1,71.1,Medium
119,tcs,1,33.33,1,33.33,1,67.93,Medium
121,tcs,1,33.33,2,66.67,1,73.7,Medium
122,tcs,1,33.33,2,66.67,1,70.7,Medium
127,tcs,2,66.67,1,33.33,1,63.3,Medium
130,tcs,1,33.33,1,33.33,1,65.93,Medium
132,tcs,1,33.33,1,33.33,1,63.53,Medium
136,tcs,1,33.33,2,66.67,1,69.9,Medium
137,tcs,1,33.33,1,33.33,1,61.33,Medium
138,tcs,1,33.33,2,66.67,1,70.1,Medium
140,tcs,2,66.67,2,66.67,1,74.87,Medium
141,tcs,2,66.67,1,33.33,1,67.7,Medium
143,tcs,1,33.33,2,66.67,1,67.9,Medium
144,tcs,1,33.33,2,66.67,1,69.1,Medium
145,tcs,1,33.33,1,33.33,1,67.13,Medium
147,tcs,1,33.33,2,66.67,1,72.3,Medium
148,tcs,1,33.33,1,33.33,1,68.93,Medium
150,tcs,1,33.33,2,66.67,1,66.9,Medium
152,tcs,1,33.33,1,33.33,1,65.33,Medium
154,tcs,1,33.33,2,66.67,1,64.3,Medium
155,tcs,1,33.33,2,66.67,1,65.1,Medium
157,tcs,1,33.33,2,66.67,1,68.1,Medium
158,tcs,1,33.33,2,66.67,1,67.1,Medium
160,tcs,2,66.67,1,33.33,1,74.3,Medium
163,tcs,1,33.33,2,66.67,1,68.3,Medium
164,tcs,1,33.33,2,66.67,1,61.9,Medium
165,tcs,1,33.33,2,66.67,1,70.9,Medium
166,tcs,2,66.67,2,66.67,1,76.87,High
167,tcs,1,33.33,1,33.33,1,65.33,Medium
168,tcs,2,66.67,1,33.33,1,68.9,Medium
169,tcs,1,33.33,3,100.0,1,71.87,Medium
170,tcs,1,33.33,2,66.67,1,70.9,Medium
173,tcs,2,66.67,1,33.33,1,70.1,Medium
174,tcs,1,33.33,1,33.33,1,67.13,Medium
175,tcs,2,66.67,1,33.33,1,66.9,Medium
176,tcs,2,66.67,1,33.33,1,66.9,Medium
179,tcs,2,66.67,2,66.67,1,75.27,High
180,tcs,2,66.67,1,33.33,1,65.7,Medium
181,tcs,1,33.33,1,33.33,1,60.13,Medium
182,tcs,2,66.67,2,66.67,1,74.87,Medium
185,tcs,1,33.33,3,100.0,1,76.87,High
188,tcs,1,33.33,3,100.0,1,67.87,Medium
189,tcs,1,33.33,2,66.67,1,68.5,Medium
190,tcs,1,33.33,1,33.33,1,65.93,Medium
191,tcs,1,33.33,2,66.67,1,75.1,High
195,tcs,1,33.33,1,33.33,1,69.33,Medium
196,tcs,1,33.33,2,66.67,1,63.5,Medium
197,tcs,1,33.33,2,66.67,1,72.1,Medium
198,tcs,1,33.33,1,33.33,1,61.13,Medium
199,tcs,1,33.33,1,33.33,1,65.73,Medium
201,tcs,2,66.67,2,66.67,1,74.67,Medium
202,tcs,1,33.33,2,66.67,1,69.1,Medium
203,tcs,2,66.67,1,33.33,1,68.3,Medium
204,tcs,2,66.67,2,66.67,1,72.47,Medium
205,tcs,2,66.67,1,33.33,1,69.3,Medium
206,tcs,2,66.67,2,66.67,1,74.07,Medium
208,tcs,1,33.33,1,33.33,1,65.73,Medium
210,tcs,1,33.33,2,66.67,1,66.5,Medium
211,tcs,2,66.67,1,33.33,1,71.5,Medium
213,tcs,1,33.33,1,33.33,1,67.33,Medium
215,tcs,1,33.33,1,33.33,1,63.13,Medium
216,tcs,2,66.67,2,66.67,1,77.27,High
217,tcs,1,33.33,1,33.33,1,62.93,Medium
218,tcs,1,33.33,1,33.33,1,62.33,Medium
220,tcs,2,66.67,2,66.67,1,79.27,High
222,tcs,2,66.67,1,33.33,1,73.9,Medium
223,tcs,1,33.33,2,66.67,1,76.1,High
224,tcs,1,33.33,2,66.67,1,66.5,Medium
226,tcs,1,33.33,1,33.33,1,64.93,Medium
227,tcs,1,33.33,2,66.67,1,66.9,Medium
230,tcs,1,33.33,2,66.67,1,63.5,Medium
234,tcs,1,33.33,2,66.67,1,67.5,Medium
238,tcs,1,33.33,2,66.67,1,68.7,Medium
240,tcs,1,33.33,1,33.33,1,60.13,Medium
242,tcs,1,33.33,1,33.33,1,60.73,Medium
244,tcs,2,66.67,1,33.33,1,66.7,Medium
247,tcs,1,33.33,2,66.67,1,62.7,Medium
249,tcs,1,33.33,1,33.33,1,66.93,Medium
250,tcs,3,100.0,1,33.33,1,73.07,Medium
252,tcs,1,33.33,1,33.33,1,61.33,Medium
254,tcs,1,33.33,1,33.33,1,64.73,Medium
255,tcs,1,33.33,3,100.0,1,68.47,Medium
256,tcs,1,33.33,1,33.33,1,62.93,Medium
257,tcs,2,66.67,2,66.67,1,76.27,High
258,tcs,3,100.0,2,66.67,1,73.83,Medium
259,tcs,2,66.67,1,33.33,1,72.7,Medium
260,tcs,1,33.33,1,33.33,1,69.13,Medium
262,tcs,1,33.33,2,66.67,1,64.9,Medium
265,tcs,2,66.67,2,66.67,1,76.87,High
266,tcs,1,33.33,2,66.67,1,67.5,Medium
267,tcs,2,66.67,3,100.0,1,82.43,High
270,tcs,1,33.33,1,33.33,1,63.73,Medium
271,tcs,1,33.33,2,66.67,1,72.5,Medium
273,tcs,2,66.67,2,66.67,1,78.27,High
274,tcs,2,66.67,2,66.67,1,72.27,Medium
276,tcs,1,33.33,1,33.33,1,64.53,Medium
277,tcs,1,33.33,2,66.67,1,75.1,High
279,tcs,1,33.33,2,66.67,1,62.1,Medium
280,tcs,1,33.33,1,33.33,1,60.73,Medium
281,tcs,1,33.33,2,66.67,1,70.7,Medium
282,tcs,2,66.67,1,33.33,1,70.9,Medium
283,tcs,1,33.33,2,66.67,1,69.3,Medium
285,tcs,2,66.67,1,33.33,1,68.3,Medium
289,tcs,1,33.33,1,33.33,1,65.73,Medium
291,tcs,1,33.33,1,33.33,1,62.73,Medium
292,tcs,1,33.33,2,66.67,1,66.3,Medium
294,tcs,2,66.67,1,33.33,1,71.1,Medium
296,tcs,1,33.33,2,66.67,1,71.7,Medium
297,tcs,2,66.67,1,33.33,1,70.7,Medium
298,tcs,1,33.33,1,33.33,1,69.13,Medium
299,tcs,3,100.0,2,66.67,1,78.63,High
301,tcs,1,33.33,1,33.33,1,66.13,Medium
302,tcs,1,33.33,2,66.67,1,67.7,Medium
303,tcs,1,33.33,1,33.33,1,63.93,Medium
304,tcs,1,33.33,1,33.33,1,60.53,Medium
307,tcs,1,33.33,2,66.67,1,67.3,Medium
309,tcs,1,33.33,1,33.33,1,62.73,Medium
311,tcs,1,33.33,1,33.33,1,62.93,Medium
312,tcs,1,33.33,1,33.33,1,62.13,Medium
313,tcs,1,33.33,2,66.67,1,70.3,Medium
314,tcs,1,33.33,2,66.67,1,69.3,Medium
315,tcs,1,33.33,1,33.33,1,71.93,Medium
316,tcs,1,33.33,2,66.67,1,73.5,Medium
319,tcs,2,66.67,2,66.67,1,75.27,High
321,tcs,1,33.33,1,33.33,1,66.33,Medium
324,tcs,1,33.33,2,66.67,1,67.9,Medium
325,tcs,1,33.33,2,66.67,1,69.1,Medium
326,tcs,1,33.33,1,33.33,1,63.53,Medium
330,tcs,1,33.33,1,33.33,1,65.93,Medium
331,tcs,1,33.33,2,66.67,1,71.5,Medium
332,tcs,1,33.33,3,100.0,1,74.67,Medium
333,tcs,1,33.33,2,66.67,1,73.9,Medium
335,tcs,1,33.33,2,66.67,1,67.7,Medium
336,tcs,2,66.67,2,66.67,1,67.87,Medium
337,tcs,2,66.67,1,33.33,1,69.5,Medium
338,tcs,1,33.33,2,66.67,1,67.7,Medium
339,tcs,1,33.33,1,33.33,1,61.53,Medium
341,tcs,1,33.33,2,66.67,1,67.3,Medium
342,tcs,1,33.33,1,33.33,1,62.13,Medium
345,tcs,1,33.33,2,66.67,1,70.3,Medium
347,tcs,1,33.33,1,33.33,1,63.13,Medium
349,tcs,1,33.33,2,66.67,1,69.5,Medium
350,tcs,1,33.33,2,66.67,1,68.5,Medium
351,tcs,1,33.33,1,33.33,1,63.93,Medium
352,tcs,1,33.33,2,66.67,1,68.3,Medium
353,tcs,2,66.67,2,66.67,1,73.27,Medium
354,tcs,1,33.33,2,66.67,1,70.3,Medium
358,tcs,1,33.33,1,33.33,1,65.73,Medium
359,tcs,2,66.67,1,33.33,1,68.7,Medium
361,tcs,1,33.33,2,66.67,1,66.5,Medium
367,tcs,1,33.33,2,66.67,1,69.3,Medium
368,tcs,1,33.33,2,66.67,1,72.1,Medium
371,tcs,1,33.33,1,33.33,1,65.33,Medium
372,tcs,2,66.67,1,33.33,1,69.3,Medium
373,tcs,1,33.33,2,66.67,1,62.9,Medium
374,tcs,1,33.33,1,33.33,1,65.73,Medium
375,tcs,2,66.67,1,33.33,1,69.5,Medium
377,tcs,1,33.33,2,66.67,1,66.3,Medium
379,tcs,1,33.33,1,33.33,1,67.13,Medium
381,tcs,1,33.33,2,66.67,1,68.1,Medium
385,tcs,1,33.33,2,66.67,1,69.1,Medium
386,tcs,1,33.33,2,66.67,1,66.9,Medium
389,tcs,1,33.33,2,66.67,1,62.9,Medium
390,tcs,2,66.67,1,33.33,1,65.9,Medium
391,tcs,1,33.33,3,100.0,1,73.07,Medium
392,tcs,1,33.33,1,33.33,1,65.93,Medium
395,tcs,1,33.33,1,33.33,1,70.33,Medium
397,tcs,2,66.67,2,66.67,1,69.47,Medium
398,tcs,1,33.33,1,33.33,1,68.13,Medium
401,tcs,2,66.67,1,33.33,1,66.3,Medium
407,tcs,1,33.33,2,66.67,1,67.9,Medium
408,tcs,2,66.67,2,66.67,1,73.67,Medium
409,tcs,1,33.33,2,66.67,1,71.5,Medium
410,tcs,1,33.33,1,33.33,1,67.13,Medium
411,tcs,1,33.33,2,66.67,1,69.9,Medium
413,tcs,1,33.33,1,33.33,1,63.73,Medium
415,tcs,1,33.33,1,33.33,1,61.93,Medium
416,tcs,2,66.67,1,33.33,1,64.1,Medium
417,tcs,1,33.33,2,66.67,1,64.1,Medium
421,tcs,2,66.67,1,33.33,1,63.5,Medium
423,tcs,1,33.33,2,66.67,1,73.1,Medium
424,tcs,1,33.33,2,66.67,1,69.9,Medium
425,tcs,2,66.67,1,33.33,1,63.5,Medium
428,tcs,1,33.33,1,33.33,1,65.13,Medium
430,tcs,1,33.33,2,66.67,1,69.3,Medium
431,tcs,1,33.33,2,66.67,1,71.5,Medium
432,tcs,1,33.33,2,66.67,1,69.9,Medium
433,tcs,1,33.33,1,33.33,1,69.93,Medium
434,tcs,2,66.67,2,66.67,1,75.07,High
437,tcs,1,33.33,1,33.33,1,63.53,Medium
438,tcs,1,33.33,2,66.67,1,69.5,Medium
440,tcs,1,33.33,2,66.67,1,71.7,Medium
441,tcs,1,33.33,1,33.33,1,66.53,Medium
442,tcs,1,33.33,1,33.33,1,67.73,Medium
443,tcs,2,66.67,2,66.67,1,71.47,Medium
444,tcs,1,33.33,2,66.67,1,68.5,Medium
445,tcs,1,33.33,3,100.0,1,73.07,Medium
447,tcs,2,66.67,1,33.33,1,71.1,Medium
451,tcs,1,33.33,1,33.33,1,62.93,Medium
452,tcs,1,33.33,1,33.33,1,60.13,Medium
459,tcs,2,66.67,2,66.67,1,69.67,Medium
461,tcs,2,66.67,1,33.33,1,69.3,Medium
462,tcs,1,33.33,2,66.67,1,72.3,Medium
463,tcs,1,33.33,1,33.33,1,73.73,Medium
464,tcs,1,33.33,1,33.33,1,64.73,Medium
465,tcs,1,33.33,1,33.33,1,63.53,Medium
466,tcs,1,33.33,2,66.67,1,64.9,Medium
467,tcs,1,33.33,2,66.67,1,72.7,Medium
468,tcs,1,33.33,1,33.33,1,64.93,Medium
469,tcs,2,66.67,2,66.67,1,72.47,Medium
470,tcs,1,33.33,2,66.67,1,67.3,Medium
471,tcs,3,100.0,1,33.33,1,73.87,Medium
472,tcs,1,33.33,2,66.67,1,70.5,Medium
473,tcs,2,66.67,3,100.0,1,82.63,High
474,tcs,1,33.33,1,33.33,1,66.73,Medium
475,tcs,1,33.33,2,66.67,1,69.1,Medium
476,tcs,2,66.67,2,66.67,1,71.07,Medium
482,tcs,1,33.33,2,66.67,1,66.3,Medium
483,tcs,1,33.33,2,66.67,1,67.1,Medium
484,tcs,1,33.33,2,66.67,1,70.5,Medium
485,tcs,1,33.33,2,66.67,1,66.5,Medium
488,tcs,1,33.33,2,66.67,1,67.7,Medium
489,tcs,1,33.33,2,66.67,1,70.1,Medium
491,tcs,2,66.67,1,33.33,1,72.7,Medium
493,tcs,1,33.33,1,33.33,1,67.73,Medium
494,tcs,2,66.67,1,33.33,1,65.3,Medium
495,tcs,1,33.33,1,33.33,1,66.73,Medium
497,tcs,1,33.33,2,66.67,1,68.9,Medium
498,tcs,1,33.33,1,33.33,1,63.93,Medium
500,tcs,1,33.33,2,66.67,1,64.7,Medium
505,tcs,2,66.67,2,66.67,1,74.07,Medium
509,tcs,2,66.67,2,66.67,1,76.07,High
512,tcs,1,33.33,2,66.67,1,66.9,Medium
516,tcs,1,33.33,1,33.33,1,67.53,Medium
517,tcs,2,66.67,1,33.33,1,68.1,Medium
519,tcs,1,33.33,1,33.33,1,68.93,Medium
522,tcs,1,33.33,2,66.67,1,62.3,Medium
523,tcs,2,66.67,1,33.33,1,69.7,Medium
526,tcs,1,33.33,1,33.33,1,61.93,Medium
528,tcs,2,66.67,2,66.67,1,70.07,Medium
529,tcs,1,33.33,3,100.0,1,78.67,High
531,tcs,1,33.33,1,33.33,1,62.53,Medium
535,tcs,1,33.33,3,100.0,1,69.47,Medium
536,tcs,1,33.33,2,66.67,1,63.7,Medium
538,tcs,1,33.33,2,66.67,1,69.5,Medium
539,tcs,1,33.33,2,66.67,1,74.5,Medium
542,tcs,1,33.33,2,66.67,1,66.5,Medium
544,tcs,1,33.33,1,33.33,1,66.93,Medium
546,tcs,1,33.33,1,33.33,1,60.73,Medium
547,tcs,2,66.67,3,100.0,1,77.63,High
548,tcs,1,33.33,1,33.33,1,62.93,Medium
550,tcs,1,33.33,1,33.33,1,64.33,Medium
552,tcs,2,66.67,1,33.33,1,66.3,Medium
560,tcs,1,33.33,2,66.67,1,67.5,Medium
562,tcs,1,33.33,2,66.67,1,66.5,Medium
563,tcs,1,33.33,1,33.33,1,64.93,Medium
565,tcs,1,33.33,1,33.33,1,66.33,Medium
567,tcs,1,33.33,1,33.33,1,68.53,Medium
568,tcs,2,66.67,3,100.0,1,71.63,Medium
569,tcs,2,66.67,2,66.67,1,73.67,Medium
570,tcs,1,33.33,1,33.33,1,67.13,Medium
571,tcs,1,33.33,1,33.33,1,62.93,Medium
573,tcs,2,66.67,1,33.33,1,65.5,Medium
574,tcs,3,100.0,2,66.67,1,75.43,High
577,tcs,1,33.33,2,66.67,1,78.3,High
580,tcs,1,33.33,2,66.67,1,68.5,Medium
582,tcs,1,33.33,1,33.33,1,64.73,Medium
583,tcs,1,33.33,1,33.33,1,63.33,Medium
585,tcs,2,66.67,2,66.67,1,76.27,High
586,tcs,2,66.67,2,66.67,1,69.27,Medium
587,tcs,1,33.33,2,66.67,1,72.1,Medium
588,tcs,2,66.67,1,33.33,1,68.1,Medium
590,tcs,2,66.67,1,33.33,1,67.3,Medium
591,tcs,1,33.33,1,33.33,1,61.53,Medium
592,tcs,1,33.33,1,33.33,1,69.73,Medium
594,tcs,2,66.67,1,33.33,1,72.7,Medium
595,tcs,2,66.67,3,100.0,1,73.83,Medium
596,tcs,1,33.33,1,33.33,1,61.93,Medium
598,tcs,2,66.67,2,66.67,1,78.87,High
599,tcs,1,33.33,2,66.67,1,74.1,Medium
602,tcs,1,33.33,2,66.67,1,73.9,Medium
603,tcs,1,33.33,2,66.67,1,69.9,Medium
604,tcs,2,66.67,2,66.67,1,70.67,Medium
605,tcs,1,33.33,2,66.67,1,70.1,Medium
607,tcs,1,33.33,1,33.33,1,62.73,Medium
609,tcs,1,33.33,2,66.67,1,71.7,Medium
612,tcs,1,33.33,2,66.67,1,70.1,Medium
614,tcs,2,66.67,2,66.67,1,70.07,Medium
615,tcs,2,66.67,1,33.33,1,67.5,Medium
617,tcs,1,33.33,3,100.0,1,74.47,Medium
618,tcs,1,33.33,2,66.67,1,66.3,Medium
619,tcs,2,66.67,1,33.33,1,72.5,Medium
620,tcs,1,33.33,3,100.0,1,77.67,High
621,tcs,2,66.67,1,33.33,1,70.9,Medium
622,tcs,1,33.33,1,33.33,1,64.73,Medium
625,tcs,1,33.33,2,66.67,1,69.9,Medium
628,tcs,2,66.67,1,33.33,1,71.1,Medium
631,tcs,1,33.33,2,66.67,1,65.7,Medium
634,tcs,1,33.33,1,33.33,1,68.53,Medium
635,tcs,2,66.67,1,33.33,1,65.9,Medium
636,tcs,2,66.67,1,33.33,1,60.3,Medium
637,tcs,1,33.33,1,33.33,1,62.73,Medium
638,tcs,1,33.33,1,33.33,1,67.73,Medium
639,tcs,2,66.67,1,33.33,1,69.1,Medium
640,tcs,1,33.33,2,66.67,1,69.5,Medium
641,tcs,1,33.33,2,66.67,1,64.9,Medium
646,tcs,1,33.33,1,33.33,1,67.73,Medium
647,tcs,1,33.33,1,33.33,1,76.13,High
649,tcs,2,66.67,2,66.67,1,71.07,Medium
650,tcs,1,33.33,1,33.33,1,61.93,Medium
653,tcs,1,33.33,1,33.33,1,67.53,Medium
654,tcs,1,33.33,1,33.33,1,66.73,Medium
656,tcs,2,66.67,2,66.67,1,76.87,High
661,tcs,2,66.67,3,100.0,1,75.23,High
664,tcs,2,66.67,2,66.67,1,70.87,Medium
666,tcs,1,33.33,2,66.67,1,62.9,Medium
667,tcs,1,33.33,1,33.33,1,62.53,Medium
669,tcs,1,33.33,2,66.67,1,66.9,Medium
671,tcs,1,33.33,3,100.0,1,74.87,Medium
673,tcs,1,33.33,2,66.67,1,65.5,Medium
674,tcs,1,33.33,1,33.33,1,64.33,Medium
675,tcs,1,33.33,2,66.67,1,65.7,Medium
676,tcs,1,33.33,1,33.33,1,64.93,Medium
677,tcs,1,33.33,2,66.67,1,65.7,Medium
679,tcs,2,66.67,2,66.67,1,75.27,High
680,tcs,1,33.33,2,66.67,1,72.5,Medium
682,tcs,1,33.33,1,33.33,1,64.13,Medium
683,tcs,2,66.67,1,33.33,1,70.1,Medium
687,tcs,1,33.33,1,33.33,1,66.73,Medium
688,tcs,2,66.67,1,33.33,1,69.3,Medium
691,tcs,1,33.33,2,66.67,1,66.7,Medium
692,tcs,1,33.33,1,33.33,1,67.13,Medium
693,tcs,1,33.33,2,66.67,1,74.3,Medium
696,tcs,1,33.33,2,66.67,1,70.3,Medium
697,tcs,2,66.67,2,66.67,1,72.67,Medium
699,tcs,1,33.33,1,33.33,1,65.93,Medium
703,tcs,1,33.33,1,33.33,1,69.73,Medium
705,tcs,2,66.67,2,66.67,1,66.27,Medium
706,tcs,1,33.33,2,66.67,1,67.9,Medium
708,tcs,1,33.33,2,66.67,1,68.5,Medium
709,tcs,2,66.67,2,66.67,1,69.47,Medium
710,tcs,1,33.33,3,100.0,1,77.87,High
711,tcs,1,33.33,1,33.33,1,63.73,Medium
712,tcs,1,33.33,1,33.33,1,61.73,Medium
713,tcs,1,33.33,2,66.67,1,69.7,Medium
714,tcs,1,33.33,1,33.33,1,63.93,Medium
716,tcs,1,33.33,2,66.67,1,69.3,Medium
718,tcs,1,33.33,1,33.33,1,63.73,Medium
724,tcs,1,33.33,2,66.67,1,69.3,Medium
725,tcs,1,33.33,1,33.33,1,63.73,Medium
726,tcs,1,33.33,1,33.33,1,66.53,Medium
727,tcs,1,33.33,1,33.33,1,63.73,Medium
728,tcs,1,33.33,2,66.67,1,69.3,Medium
732,tcs,1,33.33,1,33.33,1,60.33,Medium
734,tcs,1,33.33,1,33.33,1,72.33,Medium
735,tcs,1,33.33,1,33.33,1,65.93,Medium
736,tcs,1,33.33,1,33.33,1,68.13,Medium
739,tcs,1,33.33,2,66.67,1,62.5,Medium
743,tcs,1,33.33,1,33.33,1,64.33,Medium
744,tcs,3,100.0,1,33.33,1,72.67,Medium
745,tcs,1,33.33,2,66.67,1,66.1,Medium
747,tcs,1,33.33,1,33.33,1,66.53,Medium
748,tcs,2,66.67,1,33.33,1,75.9,High
752,tcs,1,33.33,2,66.67,1,66.1,Medium
755,tcs,1,33.33,2,66.67,1,71.3,Medium
757,tcs,1,33.33,1,33.33,1,63.93,Medium
761,tcs,1,33.33,2,66.67,1,64.7,Medium
762,tcs,1,33.33,1,33.33,1,65.13,Medium
769,tcs,1,33.33,3,100.0,1,73.27,Medium
771,tcs,1,33.33,3,100.0,1,71.87,Medium
774,tcs,1,33.33,2,66.67,1,68.5,Medium
775,tcs,2,66.67,1,33.33,1,66.3,Medium
777,tcs,1,33.33,1,33.33,1,65.33,Medium
779,tcs,1,33.33,1,33.33,1,63.13,Medium
783,tcs,2,66.67,1,33.33,1,65.1,Medium
784,tcs,1,33.33,1,33.33,1,66.13,Medium
785,tcs,1,33.33,2,66.67,1,72.7,Medium
787,tcs,1,33.33,1,33.33,1,65.53,Medium
788,tcs,1,33.33,2,66.67,1,65.3,Medium
789,tcs,2,66.67,1,33.33,1,73.7,Medium
790,tcs,1,33.33,2,66.67,1,65.9,Medium
791,tcs,1,33.33,1,33.33,1,66.53,Medium
792,tcs,1,33.33,1,33.33,1,72.53,Medium
795,tcs,2,66.67,1,33.33,1,65.1,Medium
796,tcs,1,33.33,2,66.67,1,67.1,Medium
797,tcs,1,33.33,3,100.0,1,74.67,Medium
798,tcs,1,33.33,1,33.33,1,66.73,Medium
800,tcs,2,66.67,2,66.67,1,77.27,High
801,tcs,1,33.33,3,100.0,1,70.87,Medium
803,tcs,1,33.33,2,66.67,1,66.9,Medium
804,tcs,2,66.67,1,33.33,1,71.9,Medium
809,tcs,1,33.33,3,100.0,1,75.07,High
811,tcs,1,33.33,2,66.67,1,71.1,Medium
812,tcs,1,33.33,2,66.67,1,61.1,Medium
818,tcs,1,33.33,2,66.67,1,70.7,Medium
820,tcs,1,33.33,1,33.33,1,64.33,Medium
821,tcs,1,33.33,1,33.33,1,65.73,Medium
822,tcs,1,33.33,3,100.0,1,73.67,Medium
825,tcs,1,33.33,2,66.67,1,69.9,Medium
828,tcs,1,33.33,2,66.67,1,75.9,High
831,tcs,1,33.33,1,33.33,1,66.33,Medium
833,tcs,1,33.33,2,66.67,1,67.7,Medium
834,tcs,1,33.33,1,33.33,1,68.33,Medium
836,tcs,1,33.33,2,66.67,1,71.1,Medium
838,tcs,1,33.33,1,33.33,1,63.53,Medium
841,tcs,1,33.33,2,66.67,1,68.9,Medium
842,tcs,1,33.33,2,66.67,1,60.5,Medium
844,tcs,1,33.33,2,66.67,1,65.3,Medium
847,tcs,2,66.67,1,33.33,1,70.3,Medium
849,tcs,1,33.33,2,66.67,1,66.1,Medium
850,tcs,1,33.33,2,66.67,1,65.3,Medium
851,tcs,1,33.33,1,33.33,1,69.93,Medium
855,tcs,1,33.33,2,66.67,1,68.5,Medium
858,tcs,2,66.67,2,66.67,1,75.47,High
859,tcs,1,33.33,2,66.67,1,66.1,Medium
860,tcs,1,33.33,2,66.67,1,68.7,Medium
861,tcs,1,33.33,2,66.67,1,71.7,Medium
866,tcs,1,33.33,1,33.33,1,61.73,Medium
867,tcs,2,66.67,2,66.67,1,72.27,Medium
870,tcs,1,33.33,2,66.67,1,72.5,Medium
872,tcs,1,33.33,2,66.67,1,72.9,Medium
873,tcs,1,33.33,1,33.33,1,66.13,Medium
877,tcs,1,33.33,1,33.33,1,63.93,Medium
881,tcs,1,33.33,1,33.33,1,66.53,Medium
885,tcs,1,33.33,2,66.67,1,69.9,Medium
887,tcs,1,33.33,1,33.33,1,63.93,Medium
889,tcs,1,33.33,2,66.67,1,69.7,Medium
892,tcs,1,33.33,2,66.67,1,67.1,Medium
893,tcs,2,66.67,2,66.67,1,78.27,High
894,tcs,1,33.33,1,33.33,1,64.13,Medium
895,tcs,1,33.33,1,33.33,1,68.73,Medium
